70	27-Mar-18 1:46:54 PM	1
82	27-Mar-18 1:46:59 PM	1
102	27-Mar-18 1:48:39 PM	1
111	27-Mar-18 1:48:44 PM	1
100	27-Mar-18 1:48:49 PM	1
97	27-Mar-18 1:48:54 PM	1
106	27-Mar-18 1:48:59 PM	1
68	27-Mar-18 1:50:32 PM	1
100	27-Mar-18 1:50:37 PM	1
109	27-Mar-18 1:50:42 PM	1
73	27-Mar-18 1:50:47 PM	1
107	27-Mar-18 1:50:52 PM	1
84	27-Mar-18 1:50:57 PM	1
82	27-Mar-18 1:51:02 PM	1
116	27-Mar-18 1:51:07 PM	1
113	27-Mar-18 1:51:12 PM	1
52	27-Mar-18 1:51:17 PM	1
86	27-Mar-18 1:51:22 PM	1
50	27-Mar-18 1:51:27 PM	1
117	27-Mar-18 1:51:32 PM	1
81	27-Mar-18 1:51:37 PM	1
90	27-Mar-18 1:51:42 PM	1
54	27-Mar-18 1:51:47 PM	1
52	27-Mar-18 1:51:52 PM	1
74	27-Mar-18 1:51:57 PM	1
108	27-Mar-18 1:52:02 PM	1
117	27-Mar-18 1:52:07 PM	1
81	27-Mar-18 1:52:12 PM	1
78	27-Mar-18 1:52:17 PM	1
112	27-Mar-18 1:52:22 PM	1
51	27-Mar-18 1:52:27 PM	1
85	27-Mar-18 1:52:32 PM	1
83	27-Mar-18 1:52:37 PM	1
117	27-Mar-18 1:52:42 PM	1
55	27-Mar-18 1:52:47 PM	1
53	27-Mar-18 1:52:52 PM	1
83	30-Mar-18 12:06:03 PM	1
97	30-Mar-18 12:06:08 PM	1
94	30-Mar-18 12:06:13 PM	1
58	30-Mar-18 12:06:18 PM	1
92	30-Mar-18 12:06:23 PM	1
115	30-Mar-18 12:06:28 PM	1
112	30-Mar-18 12:06:33 PM	1
106	30-Mar-18 12:07:05 PM	1
72	30-Mar-18 12:07:10 PM	1
62	30-Mar-18 12:07:15 PM	1
98	30-Mar-18 12:07:20 PM	1
62	30-Mar-18 12:07:25 PM	1
84	30-Mar-18 12:07:30 PM	1
118	30-Mar-18 12:07:35 PM	1
96	30-Mar-18 12:07:40 PM	1
118	30-Mar-18 12:07:45 PM	1
116	30-Mar-18 12:07:50 PM	1
80	30-Mar-18 12:07:55 PM	1
114	30-Mar-18 12:08:00 PM	1
110	30-Mar-18 12:08:06 PM	1
62	30-Mar-18 12:08:11 PM	1
51	30-Mar-18 12:08:16 PM	1
74	30-Mar-18 12:08:21 PM	1
108	30-Mar-18 12:08:26 PM	1
60	30-Mar-18 12:08:31 PM	1
108	30-Mar-18 12:08:37 PM	1
105	30-Mar-18 12:08:42 PM	1
94	30-Mar-18 12:08:47 PM	1
92	30-Mar-18 12:08:52 PM	1
56	30-Mar-18 12:08:57 PM	1
